"用例编号","所属模块","用例标题","前置条件","步骤","预期","实际情况","优先级","用例类型","适用阶段","B","R","S","结果","由谁创建"
"1","/抢租客/注册(#7)","验证各栏位为空时，点击注册是否有必填项提示","/","1. 进入停哪儿车位协议首页
2. 点击注册查看","1. 页面显示正常
2. 出现各栏位错误提示","页面显示正常1. 页面显示正常
2. 不出现各栏位错误提示","2","功能测试","系统测试阶段","1","1","2","失败","石文星",""
"2","/抢租客/注册(#7)","验证密码是否加密显示","/","1. 进入停哪儿车位协议首页
2. 输入密码","1. 页面显示正常
2. 加密","页面显示正常1. 页面显示正常
2. 加密","1","功能测试","系统测试阶段","0","1","2","通过","石文星",""
"3","/抢租客/注册(#7)","验证验证码2分钟内输入能否注册","/","1. 进入停哪儿车位协议首页
2. 点击注册
3. 点击输入账号123
4. 点击两次输入密码123
5. 输入13512341234接收验证码
6. 两分钟内输入验证码并点击注册","1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 输入正常
5. 注册成功
6.","1. 
2. 
3. 
4. 
5. 
6.","1","功能测试","系统测试阶段","0","1","6","通过","石文星",""
"4","/抢租客/注册(#7)","验证验证码2分钟外输入能否注册","/","1. 进入停哪儿车位协议首页
2. 点击注册
3. 点击输入账号123
4. 点击两次输入密码123
5. 输入13512341234接收验证码
6. 两分钟后输入验证码并点击注册","1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 输入正常
5. 注册失败
6.","进入停哪儿车位协议首页1. 进入停哪儿车位协议首页
2. 	界面正常跳转
3. 	输入正常
4. 	输入正常
5. 	输入正常
6. 收到","1","功能测试","系统测试阶段","0","1","6","通过","石文星",""
"5","/抢租客/注册(#7)","验证注册界面账号正确，两次输入密码正确，手机号正确，选择物业方是否注册成功，","/","1. 进入停哪儿车位协议首页
2. 点击注册
3. 点击输入账号1245
4. 点击两次输入密码123
5. 输入13412341234
6. 验证码0000
7. 选择物业方
8. 点击注册
9. 登录查看是否抢租客界面","1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 输入正常
5. 输入正常
6. 输入正常
7. 输入正常
8. 注册成功
9. 登录成功","页面显示正常1. 页面显示正常
2. 	界面正常跳转
3. 	输入正常
4. 	输入正常
5. 	输入正常
6. 	输入正常
7. 	输入正常
8. 无法点击
9. 注册失败","1","功能测试","系统测试阶段","1","1","9","失败","石文星",""
"6","/抢租客/注册(#7)","验证注册界面账号正确，两次输入密码正确，手机号正确，选择抢租客是否注册成功，","/","1. 进入停哪儿车位协议首页
2. 点击注册
3. 点击输入账号1245
4. 点击两次输入密码123
5. 输入13412341234
6. 验证码0000
7. 选择抢租客
8. 点击注册
9. 登录查看是否抢租客界面","1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 输入正常
5. 输入正常
6. 输入正常
7. 输入正常
8. 注册成功
9. 登录成功","页面显示正常1. 页面显示正常
2. 	界面正常跳转
3. 	输入正常
4. 	输入正常
5. 	输入正常
6. 	输入正常
7. 	输入正常
8. 无法点击
9. 注册失败","1","功能测试","系统测试阶段","1","1","9","失败","石文星",""
"7","/抢租客/注册(#7)","验证注册界面账号正确，两次输入密码正确，手机号正确，选择出租方是否注册成功，","/","1. 进入停哪儿车位协议首页
2. 点击注册
3. 点击输入账号1245
4. 点击两次输入密码123
5. 输入13412341234
6. 验证码0000
7. 选择出租方
8. 点击注册
9. 登录查看是否抢租客界面","1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 输入正常
5. 输入正常
6. 输入正常
7. 输入正常
8. 注册成功
9. 登录成功","页面显示正常1. 页面显示正常
2. 	界面正常跳转
3. 	输入正常
4. 	输入正常
5. 	输入正常
6. 	输入正常
7. 	输入正常
8. 无法点击
9. 注册失败","1","功能测试","系统测试阶段","1","1","9","失败","石文星",""
"8","/抢租客/注册(#7)","验证注册界面账号为空，输入密码是否不可用，且有账号长度提示","/","1. 进入停哪儿车位协议首页
2. 点击注册
3. 点击输入账号空
4. 点击注册","1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 输入正常","页面显示正常1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 无法点击，且提示长度","1","功能测试","系统测试阶段","1","1","4","失败","石文星",""
"9","/抢租客/注册(#7)","验证注册界面账号长度为1，输入密码是否不可用，且有账号长度提示","/","1. 进入停哪儿车位协议首页
2. 点击注册
3. 点击输入账号1
4. 点击两次输入密码123
5. 点击注册","1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 输入正常
5. 注册失败，且提示账号长度","页面显示正常1. 页面显示正常
2. 	界面正常跳转
3. 输入正常
4. 输入正常
5. 无法点击","1","功能测试","系统测试阶段","1","1","5","失败","石文星",""
"10","/抢租客/注册(#7)","验证注册界面账号长度为20，输入密码是否不可用，且有账号长度提示","/","1. 进入停哪儿车位协议首页
2. 点击注册
3. 点击输入账号12345678901234567890
4. 点击两次输入密码123
5. 点击注册","1. 页面显示正常
2. 界面正常跳转
3. 输入正常
4. 注册失败，且提示账号长度
5.","页面显示正常1. 	页面显示正常
2. 	界面正常跳转
3. 	输入正常
4. 	输入正常
5. 	无法点击注册，且无提示账号长度","1","功能测试","系统测试阶段","1","2","5","失败","石文星",""
